Round,Pick Number,Overall Pick,Player,Player ID,Team,Position,NFL Team,Position Rank,Eligible Slots,Acquisition Type,Season
13,3,147,Tua Tagovailoa,4241479,PUG,QB,MIA,23.0,"['QB', 'OP', 'BE', 'IR']",[],2025
13,4,148,Najee Harris,4241457,WALL,,,,,,2025
13,5,149,Dalton Kincaid,4385690,DAVE,TE,BUF,16.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
13,6,150,Wan'Dale Robinson,4569587,CRAIG,WR,NYG,14.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
13,7,151,Broncos D/ST,-16007,JAY,D/ST,DEN,4.0,"['D/ST', 'BE', 'IR']",DRAFT,2025
13,8,152,Ray Davis,4429501,WAKA,,,,,,2025
13,9,153,Lions D/ST,-16008,HOUSE,D/ST,DET,15.0,"['D/ST', 'BE', 'IR']",DRAFT,2025
13,10,154,Ravens D/ST,-16033,FEDS,D/ST,BAL,25.0,"['D/ST', 'BE', 'IR']",[],2025
13,11,155,Dylan Sampson,5081397,BIV,RB,CLE,49.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
13,12,156,Drake Maye,4431452,HARN,QB,NE,3.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
14,1,157,Kendre Miller,4599739,HARN,,,,,,2025
14,2,158,Brenton Strange,4430539,BIV,TE,JAX,30.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
14,3,159,Cameron Dicker,4362081,FEDS,K,LAC,3.0,"['K', 'BE', 'IR']",DRAFT,2025
14,4,160,Will Shipley,4431545,HOUSE,,,,,,2025
14,5,161,Luther Burden III,4685278,WAKA,WR,CHI,65.0,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
14,6,162,Jake Elliott,3050478,JAY,K,PHI,22.0,"['K', 'BE', 'IR']",ADD,2025
14,7,163,Vikings D/ST,-16016,CRAIG,D/ST,MIN,16.0,"['D/ST', 'BE', 'IR']",ADD,2025
14,8,164,Texans D/ST,-16034,DAVE,D/ST,HOU,2.0,"['D/ST', 'BE', 'IR']",DRAFT,2025
14,9,165,DeMario Douglas,4427095,WALL,,,,,,2025
14,10,166,Seahawks D/ST,-16026,PUG,D/ST,SEA,1.0,"['D/ST', 'BE', 'IR']",ADD,2025
